@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
'5 juegos que me marcaron: - Call of duty: Black Ops 2 - Rocket League - Battlefield 3 - Bioshock Infinite - Kingdom Hearts 2 ',none
'All roads lead to Ryan All roads in Rapture lead to Ryan. The security, the splicers, the Big Daddies, the Little Sisters.',none
'-Bloodborne -The last of us -Dishonored 1 y 2 -assassins creed revelations -Dark souls 3 (extra) Bioshock infinite+dlcs ',none
' Goog stream mam',none
'BioShock Skilled Hacker (Bronze) The player has successfully completed 50 hacks ',negative
'What happened to you? I\'ve been trying to raise you for a dog\'s age.',negative
'Splicer! Give \'em the combo: zap \'em then whack \'em. One-two punch!',none
'BIOSHOCK (PART 2) The Collection Gameplay Walkthrough via we are live ',none
' New Podcast! \"MGP367- Monster Hunter World, Return Of The Obra Dinn, Bioshock Infinite & Fallout 76\" on @Spreaker ',none
' I just played bioshock burial at sea episode 2 you can\'t pet the dogs in the beginning in france',none
'Those Little Sisters, they carry ADAM - the genetic material that keeps the wheels of Rapture turning.',positive
' BioShock is the best gaming franchise imo',positive
'Played some COD, streamed for almost 6 hours, and revisited Bioshock: Infinite. What a beautiful, insane game. ',none
'jesus christ why does Bioshock Remastered crash so much on steam',negative
' Dishonored o bioshock',positive
'You flutter all around the Fort, taking life as you go. You\'re not a moth, you\'re an angel.',positive
'Bioshock free on the playstation store? Say lessss',none
'BioShock 4 Is Still \"Several Years\" Away From Releasing: ',negative
' How you getting on with Bioshock, dude? One of my favourite trilogies ever. Recently went on a plat run and got all 3',positive
' Also must play bioshock infinite, its awesome',positive
'BioShock Platinum Trophy (Platinum) No. 111 Unlocked all trophies ',none
'Guys who thought they knew it all. Dames who thought they\'d SEEN it all.',negative
' It\'s some straight up Bioshock Infinite nonsense! ',negative
'So we are gonna stream bioshock 1 blind playthrough mute ',none
'Roll on back to Mother Goose now, or everything\'s gonna go busto!',positive
'Sin orden, 5 juegos que me han marcado: - Bioshock Infinite - Shadow of the colossus - Dark Souls - The legend of Zelda: Breath of the wild - Valiant Hearts ',positive
' Bioshock for me please mister ',none
'Hm, now that I have a decent grasp on Quake 1\'s level design, I really should revisit Bioshock. A lot of its levels are full of pure Quake design patterns.',positive
'Started last night, very impressed, me likey, me likey alot ',positive
' Death Stranding and I\'ll guess bioshock 1',negative
'Earned 5 PSN trophies (5 bronze) in BioShock ',none
' Yup i heard BioShock is a great series you probably gonna enjoy all of them, personally i\'m too lazy to play it ',positive
'We all make choices, but in the end, our choices make us.',negative
'BioShock Part 1 Intro Walkthrough Gameplay [No commentary] ',negative
' Wtf didn\'t know BioShock was creepy like that ',positive
'I finished the first BioShock. It’s a shorter game but god do I love the story, the setting. It’s still a strong game after all these years. Also the good ending with the little sisters kills me. It’s so sweet and sad NOW ONTO BIOSHOCK 2!',positive
'And a little Bioshock-inspired ambush ',positive
'I cant stop playing ',positive
