@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
'Roly Hider started playing Borderlands3 on Xbox One 11:18',positive
'Come and watch us play with my youngest son and drop us a line! ^_^ (Borderlands 3) live at ',none
'Red Dead Redemption 2 has shipped over 29 million units And Borderlands 3 nearly 8 million',negative
'Borderlands 3 sales near 8 million copies: ',none
'come and join in the fun as we play Borderlands 3 with my gaming bestie vampiricphoenix ',positive
' been a few months since launch when are we gonna see some fixes to local co op gameplay???? Split screen was the best bit of BL1 and 2 but I can barely even play with my brother\'s/friends in number 3 cause if the issues',negative
' Theres are borderlands 3 goty already?',positive
'Now streaming Borderlands 3, come hang out with us at ! ',none
'Friday Night Borderlands 3 ',positive
'RT if you played Borderlands 2! ',positive
'Borderlands 3 sales near 8 million copies > ',none
'Decided to Start streaming check me out on Twitch. Currently gonna be playing Borderlands 3. ',none
' \"HD\" gaming really fucked the whole thing, though. The amount of detail \"needed\" in new games makes split screen so difficult, on hardware and from a gamefeel standpoint. Ratchet and Clank vs mode is still fun but Borderlands 3 sputters and fucken dies.',positive
'Darksiders Borderlands 3 Rock Band 4 Minecraft Gears 5 Goodnight ',positive
' If you catch me playing borderlands 3 send help',positive
' borderlands 3 extension enabled ',none
'Borderlands 3 sales near 8 million copies ',none
'5 juegos que me marcaron Fallout 3 Witcher 3 Borderlands 2 Call of duty bo1 The last of us ',none
'Outlaws attackongeek is live! Playing: Borderlands 3 Title: [NZ] [Aus Fires] Raising Money for Aus Red Cross Link: Time: 2020-02-08T07:45:48.778000+00:00',none
'Starting the night with RL Borderlands 3 grind after tune in ',none
' Now live on Twitch streaming Borderlands 3! - come watch at ️️🧠 ',none
'i NEED BORDERLANDS 3',positive
' Remembering how Borderlands 3 launched with a DX12 implementation that had to rebuild shader cache on *every* game launch. That\'s +3 minutes off an SSD. No progress bar, just a dancing Clap-Tr4p.',positive
'Earned 3 PSN trophies (1 gold, 1 silver and 1 bronze) in Borderlands ',none
'I played a little of borderlands 3 but it\'s scary bc I cannot identify any meaningful difference btwn the 1 million weapons I\'ve picked up',positive
' I miss you :( we needa get back on the borderlands 3',negative
'Who got borderlands 3 deadass',positive
'bl2 before 3? ',negative
'Hey, fuck FFXV for the night, Borderlands 3 might be good, yeah?',positive
'Somebody want to run through Borderlands 3',negative
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
'Anybody got borderlands 3 and wanna play w me PS4 ONLY comment psn',none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
'xMAGGOT555666x played Borderlands 3 (Xbox One) in the last 24 hours ',none
'here’s my 4 Destiny 2 Borderlands 3 Pokemon Diamond Doki Doki Literature Club i tag ',none
' Horizon: Zero Dawn, Resident Evil 2, A Plague Tale, Hellblade, and Borderlands 3 are all fantastic.',positive
' Grab Borderlands 3 for $24.99! One ',positive
'STEAL!! Grab Borderlands 3 for $24.99! Xbox One; PS4; ',none
' So recoil in borderlands 3 pushes the camera up and to the right?',negative
'Been so busy I kind of forgot I haven\'t played Borderlands 3 in months (and I wasn\'t very far in the game). Guess it\'s time to pick it back up ',positive
'Oh BTW guys n gals imma be going ham on borderlands 3 with a few mates in maliwan takedown ^^',none
' Still finishing Borderlands 3 >.>',positive
' I phone 11 pro max, new hard drive so I can play borderlands 3, and vbucks so I can get the Harley Quinn bundle',none
'Come watch while they play Borderlands 3 on Twitch! ',none
'Going live with Borderlands 3 and the first stream after breaking 1400 followers! LOOT FOR EVERYONE! GEARING UP FOR MULTIPLE ZANE BUILDS! LOUD NOISES!!! Come be apart of the fun and hopefully I can help you with your builds too! ',none
'We\'ve made affiliate! Going live and finishing Zane\'s story in 3! Join me! ',positive
'FighterZ was good, felt good to get back into it! Ended with a \"raid\" to he\'s a great dude and playing some Borderlands 3 right now! Check him out he\'s one of the best out there!',positive
'After beating 3 and playing a couple of hours of the endgame, I have to say that the 1st half of the game is kind of rough and I can see why it turned off some people. But if you push through and get to the 2nd half and the endgame, it gets really freaking fun.',negative
' Borderlands 3 is a disaster. Who is responsible for this game? It’s awful. The previous two games are a million times better.',negative
'Chaos ensues over at with some more shooting and looting on 3 and then after with the Squad ',negative
'I\'m on my second Vault Hunter and I still can barely believe Borderlands 3 is here and I get to play it',positive
' There was a code for like 3, for BL3, the other day. There are at least 2 accounts that drop golden key codes..',none
'Check out my broadcast from my PlayStation 4! ( 3) extension enabled live at ',none
'emily and viv pulled me into borderlands 3 with fl4k and then they pull me into apex with revenant,, robots rly do be my weakness',none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
' Also, I have to say, great job stadia. Everyone is giving you hate but come on, 4K 60fps HDR Surround sound. I love stadia, I love the games, mostly borderlands 3!',positive
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
' Dark Souls 3 (or any fromsoft) Skyrim/Fallout 4 (for mods) Borderlands 2 (not for the writing!) Undertale (Fight me) ',negative
' they look cool af might give borderlands 3 a try',negative
' fl4k from borderlands 3, a non-binary librarian robot turned into assassin robot that is a beastmaster.',none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
'Beat borderlands 3. I think the story in borderlands 2 was cooler but the gameplay in bl3 was way better in my opinion. Pretty much the whole time I was doing something important but in borderlands 2 it seemed like there was a ton of filler and it got really boring sometimes.',positive
'He also played FL4K in Borderlands 3. Guess he\'s prone to voicing badass characters despite who he is lol ',none
' I\'ll forget when you play borderlands 2 (day 3 btw)',positive
'Haha funny me and my friend playing Borderlands 3 ',none
' As in some preset configurations? That’s a step in the right direction. What gamers, particular disabled gamers, are in need of nowadays are fully customized controls. Being able to assign each action to whatever button they wish to use. A great example is Borderlands 3.',positive
