text,observed,expected
' I mean.......yes But also, Batman: The Dark Knight Returns, The Dark Knight, Batman: Arkham Asylum',positive,none
'However, the building of Arkham Asylum was destroyed in the head, freeing the city of Leviathan\'s grasp.',none,none
'Credits rolled on February 7th 2020. Batman: Arkham Asylum by . My rating: 7/10! ',positive,positive
'The Batman\'s Grave #5 preview. The Batman is summoned to Arkham Asylum, where he is presented with parts of a deadly puzzle he couldn\'t see assembling all around him. ',positive,none
' Tough call. Might be for the longer runs and for short as I still think Arkham Asylum is the best Batman story ever told.',positive,positive
'batman origins? meh,, it\'s okay but like,, arkham asylum still my fave',positive,positive
' Thanks Gears of War Halo Dead Space Batman Arkham Asylum',positive,positive
'Batman is captured by a team of villains and held in Arkham Asylum. Barbara Gordon and Dick Greyson have 12 hours to pull off the greatest rescue mission in the history of Gotham City... and hopefully make it to school the next day. BATGIRL & ROBIN (pls let me )',positive,none
' I think the years of never catching the Batman and getting tossed into Arkham Asylum have finally caused Quin to break',negative,none
'A Link To The Past Pokemon SoulSilver Bioshock 2 Batman: Arkham Asylum Shovel Knight ',none,none
'Great night to finish off the week! Did not finish Batman Arkham Asylum, but we are close! Next week we will! The gifted subs and bits broke my stomach Love you all and have a great weekend!!! ',positive,none
'Top 10 Games of the Xbox 360/PS3 Generation 1. Halo 3 2. Uncharted 2 3. GTA IV 4. MW2 5. Gears Of War 6. BO1 7. Red Dead Redemption 8. Batman Arkham Asylum 9. Star Wars: The Force Unleashed 10. Assassin’s Creed 2',none,none
' for like all the flak I read online about the Monstropolis linearity in its design, I was personally so giddy when playing through it. Randall\'s overhead speaker taunts reminded me a whole lot of Batman Arkham Asylum hahaha',positive,none
'Check out my broadcast from my PlayStation 4! (Batman: Return to Arkham - Arkham Asylum) live at ',none,none
' Fortnite and some Batman: Arkham Asylum',none,none
'Well everyone I finished Batman arkham asylum and next up is arkham city, I like to thank co hosting me through the entire lets play she will join me on this city adventure maybe lol anyway also thumbnail made by and thank you all for the support lol ',positive,none
' join me as we play Batman Arkham asylum',none,none
