text,observed,expected
'Roly Hider started playing Borderlands3 on Xbox One 11:18',positive,none
'come and join in the fun as we play Borderlands 3 with my gaming bestie vampiricphoenix ',positive,none
' Theres are borderlands 3 goty already?',positive,none
'Friday Night Borderlands 3 ',positive,none
'RT if you played Borderlands 2! ',positive,none
'Darksiders Borderlands 3 Rock Band 4 Minecraft Gears 5 Goodnight ',positive,none
' If you catch me playing borderlands 3 send help',positive,none
' Remembering how Borderlands 3 launched with a DX12 implementation that had to rebuild shader cache on *every* game launch. That\'s +3 minutes off an SSD. No progress bar, just a dancing Clap-Tr4p.',positive,none
'I played a little of borderlands 3 but it\'s scary bc I cannot identify any meaningful difference btwn the 1 million weapons I\'ve picked up',positive,none
'Who got borderlands 3 deadass',positive,none
' Grab Borderlands 3 for $24.99! One ',positive,none
' Still finishing Borderlands 3 >.>',positive,none
'We\'ve made affiliate! Going live and finishing Zane\'s story in 3! Join me! ',positive,none
'FighterZ was good, felt good to get back into it! Ended with a \"raid\" to he\'s a great dude and playing some Borderlands 3 right now! Check him out he\'s one of the best out there!',positive,none
' I\'ll forget when you play borderlands 2 (day 3 btw)',positive,none
' Actually, 8 million ',positive,none
'Borderlands: The PreSequel BroForce Command and Conquer: Red Alert 3 The Curse of Monkey Island Dark Hill Museum of Death Dead by Daylight Dead Rising 2 DiveKick Don\'t Forget out Esports Dream Duke Nukem 3d: 20th Anniversary World Tour Escape from Monkey Island 2/?',positive,none
' Grab Borderlands 3 for $24.99! One ',positive,none
'No. 2,951: Stay Golden - Borderlands 3. Amazing it took me this long to get shift codes. ',positive,none
' Hey man i haven\'t played borderlands 3 yet but if i don\'t hear \"this is my ass kicking outfit\" while i\'m going through the customisation menu for fl4k i\'m gonna be really dissapointed',positive,none
' totally understand. I\'ve been forcing myself back to finishing my Borderlands 3 videos BEFORE playing Runeterra/Gwent. I don\'t stream and I don\'t know if I really ever will.',positive,none
'Come and watch us play with my youngest son and drop us a line! ^_^ (Borderlands 3) live at ',none,none
'Borderlands 3 sales near 8 million copies: ',none,none
'Now streaming Borderlands 3, come hang out with us at ! ',none,none
'Borderlands 3 sales near 8 million copies > ',none,none
'Decided to Start streaming check me out on Twitch. Currently gonna be playing Borderlands 3. ',none,none
' borderlands 3 extension enabled ',none,none
'Borderlands 3 sales near 8 million copies ',none,none
'5 juegos que me marcaron Fallout 3 Witcher 3 Borderlands 2 Call of duty bo1 The last of us ',none,none
'Outlaws attackongeek is live! Playing: Borderlands 3 Title: [NZ] [Aus Fires] Raising Money for Aus Red Cross Link: Time: 2020-02-08T07:45:48.778000+00:00',none,none
'Starting the night with RL Borderlands 3 grind after tune in ',none,none
' Now live on Twitch streaming Borderlands 3! - come watch at ️️🧠 ',none,none
'Earned 3 PSN trophies (1 gold, 1 silver and 1 bronze) in Borderlands ',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'Anybody got borderlands 3 and wanna play w me PS4 ONLY comment psn',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'xMAGGOT555666x played Borderlands 3 (Xbox One) in the last 24 hours ',none,none
'here’s my 4 Destiny 2 Borderlands 3 Pokemon Diamond Doki Doki Literature Club i tag ',none,none
'STEAL!! Grab Borderlands 3 for $24.99! Xbox One; PS4; ',none,none
'Oh BTW guys n gals imma be going ham on borderlands 3 with a few mates in maliwan takedown ^^',none,none
' I phone 11 pro max, new hard drive so I can play borderlands 3, and vbucks so I can get the Harley Quinn bundle',none,none
'Come watch while they play Borderlands 3 on Twitch! ',none,none
'Going live with Borderlands 3 and the first stream after breaking 1400 followers! LOOT FOR EVERYONE! GEARING UP FOR MULTIPLE ZANE BUILDS! LOUD NOISES!!! Come be apart of the fun and hopefully I can help you with your builds too! ',none,none
' There was a code for like 3, for BL3, the other day. There are at least 2 accounts that drop golden key codes..',none,none
'Check out my broadcast from my PlayStation 4! ( 3) extension enabled live at ',none,none
'emily and viv pulled me into borderlands 3 with fl4k and then they pull me into apex with revenant,, robots rly do be my weakness',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
' fl4k from borderlands 3, a non-binary librarian robot turned into assassin robot that is a beastmaster.',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'He also played FL4K in Borderlands 3. Guess he\'s prone to voicing badass characters despite who he is lol ',none,none
'Haha funny me and my friend playing Borderlands 3 ',none,none
' May I please have a digital code of Borderlands 3 for XBOX One? I will... Hmm.... I will make a 5 minute video about why Borderlands is one of the most important franchises in gaming.',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
'STEAL!! Grab Borderlands 3 for $24.99! Xbox One; PS4; ',none,none
'Whitbizzle played Borderlands 3 (PS4) in the last 24 hours ',none,none
'I feel like streaming Borderlands 3 again tonight. I\'ve beaten the story and i\'m attempting to level up to 50! Also some red chest loot available for you guys :)',none,none
'Borderlands 3 kicked my ass. Sorry for the short stream but my Chinese food was staring me in the face and I was hangry lmao. Might stream a little more tonight. Might not',none,none
'I\'m back with more Link\'s Awakening for , and I\'ve befriended a Chain Chomp somehow. Come hang out and explore with me! Later on my channel: Rockstar and I continue to take down the establishment in Borderlands 3! 10:30 pm EST start time!',none,none
' There should a character with sniper attributes or an attribute for our characters. Because some ppl snipe alot. Please add this to Borderlands 3. Ty much appreciated.',none,none
'Live .tv with some Borderlands 3 and then APEX after. check it out at ',none,none
'Borderlands 3 or The Outerworlds? Have a promo to choose between the two. Suggestions?',none,none
'Earned 4 PSN trophies (1 silver and 3 bronze) in Borderlands 3 ',none,none
' 3 games IceBorne Yugioh link evolution And Borderlands 3 with that handsome dlc',none,none
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none,none
