text,observed,expected
' I agree about Mass Effect Andromeda being an absoulute failure and I have low expectations from Bioware but otherwise this was painfully hypocritical. ',negative,negative
' Mass effect Andromeda!',none,none
'Everyone! Please vote! Yes, there are four polls, and there will probably be many more as we move through the storyline. But we are starting out Mass Effect run on Monday, running 1 all the way through Andromeda, with full completions. ',negative,none
'Mass Effect Andromeda in 2020: Was It Really That Bad? ',negative,none
' Not a bad game, just not a good Mass Effect game. For a studio\'s very first title, it\'s something to be proud of. Andromeda probably would have reviewed better had it been an original IP.',positive,positive
'I wonder if has ever played mass effect andromeda. ',positive,none
' I’m playing mass effect andromeda again and still loving it as much as the first time. I really would like to see this story played out and how all the outposts I’ve made and decisions come to fruition in a sequel.',positive,positive
'continuing Mass Effect Andromeda, I forgot how much i liked it :) ',positive,positive
' Probably Modern Warfare and Mass Effect: Andromeda. This past week, I jumped back into ME after 17 months, and am enjoying progressing through the story.',positive,positive
'Update: I’ve booted Mass Effect Andromeda and wooooooof those facial animations are way goofier than I remembered',negative,negative
' I mean who does not want to listen to me die on the Mass Effect: Andromeda hill??',positive,none
'Earned 1 PSN trophy (1 bronze) in Mass Effect: Andromeda ',none,none
'Catching up on lore vid to ME Andromeda and the first vid I clicked on has such an amazing intro that I\'m going to sub to this guy just because of that. \"I\'ve decided to turn my focus to one of the greatest mysteries of Mass Effect Andromeda\" ... \"Why isn\'t Reyes a squad mate?\"',none,none
'These tweets weren’t even directed at Mayor Pete. They were all replies to the developers of mass effect andromeda ',negative,none
'Started playing Mass Effect Andromeda again for the first time since the game came out and on PC the game definitely looks a lot better and they really improved the character design and eyes.',positive,positive
' i agree with this article. mass effect 2 is probably my favorite game ever made. id love to have mass effect 2 redone with andromeda combat system though, but thats just wishful thinking.',positive,positive
'I took a look at Mass Effect Andromeda in 2020 to ask and answer a simple question: was it really that bad? ️ ',negative,none
'Anyway, the next triple A on my docket will be Mass Effect Andromeda. We shall see if it\'s going to be a 100+hours game for me ',negative,none
'Ok I’m abt to quit mass effect andromeda bc driving the nomad is so damn frustrating',none,negative
'Going live with more Mass Effect Andromeda! Come hang and watch as this sci-fi action drama unfolds... ',none,none
'Just watched episode 3 of and wow I didn\'t know I missed a Sci-Fi Series like this soooooo much. But also thought this could be a Bioware RPG, the crew & everything. Alas I\'m reinstalling Mass Effect Andromeda now...won\'t hold but I have the heavy urge to play it again! ',positive,positive
'When I think about and I get sad...both games looked great, and had so much potential...yet both were disappointing. I loved ME:A, but knew it didn\'t live up to the Mass Effect name. Had Andromeda been a new IP like Anthem was, it would have done much better. ',positive,positive
'More mission to do in Modded Mass Effect Andromeda ',none,none
'More missions to do on Mass Effect Andromeda starting soon over at ',none,none
'More missions to do on Mass Effect Andromeda starting soon over at ',none,none
'I may be a bit too excited for my Mass Effect: Andromeda OC, Jos de\'la Mota, beautifully drawn up and brought to life by thesneakydoodles on IG yet again. ️ I\'m so pleased my Angara has a face for my upcoming RP. ',positive,positive
' that and like wolfenstein type games look good but all this online shit is boring. fallout 76, elder scrolls online, mass effect andromeda, battlefront 2. ruining franchises by trying to make them massive multiplayer games is becoming a trend',negative,negative
' Mass Effect Andromeda kkkkkk',none,none
' Mass effect andromeda?',none,none
' I was actually responding to . The game sold, people still play it!! No mans sky, colonial marines, mass effect: Andromeda, Anthem..those games flopped!! Hell, retailers were offering full refunds for no mans sky because of how bad it was.',negative,negative
' I may be tarred and feathered for this, but Mass Effect: Andromeda is the best one for this.',positive,positive
'Shall we continue with Mass Effect Andromeda today, come check it out if you like. Let’s fly around Andromeda Galaxy. Let’s see what mess Ryder can get into. (we got Bamboozle and harry potter Beans and good flavors) ',none,none
