@relation _Users_gianluca_dataset

@attribute text string
@attribute @@class@@ {positive,negative,none}

@data
'Thanks EA!',positive
'Legit is the worst out of them all',negative
'JOB INTERVIEWS & SMELLY SMELLS! Just released Episode of my new gaming podcast “Don’t trip, just Tr1p” FULL EPISODE -',none
' is great',positive
'Goodbye, the evil you have done is enough.',negative
'.....spills, kill, and thrills.',none
'.....spills, kill, and thrills.',none
'.....spills, kill, and thrills.',none
'is so interesting',positive
' is by far the worst game. Its so bad',negative
'Check out this clip! xCobra_Clutchx streaming !',none
'Check out this clip! xCobra_Clutchx streaming !',none
'Kh really said looks pretty cool',positive
'The servers are exceptionally bad tonight',negative
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
