@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
' It\'s only ok if there\'s some type of \"progressives\" stuff. Or else it would\'ve been like God of War 4.',negative
' The God of the Bible is a man and a warmonger as described in Exodus 15:3 \"The Lord is a man of war: the Lord is his name.\"',none
' Thank you so very much. That\'s what I pretty much thought also. I\'ve been part of the Great Awakening since Jan 2018 and what I have seen are prayers to God through Jesus Christ. Even Q has posted: pray. This is also a spiritual war.',positive
' : Yes the male was exhiled from ! The reason women can have women! CUH the son of MAN rebuked & went to WAR with ! SO the pale skin thing was like a smack on the wrist to adhere to ',negative
' I was literally just playing god of war this weekend ',negative
' There\'s also a drama called Mars/God of War which someone made a mv of with yizhan. Yb and xz are just like the leads ',none
' Am I the only one who doesn\'t know the difference between God of war and FIFA 20???',negative
' More like a disciple of the deceiver! He deceived God & the angles,Caused a Great War in heaven & Was thrown out by God as he shall throw you a disciple of the greatest deceiver out of his holy temples for you are blasphemous! Your preach hate & deception!',positive
' Morning Bless you I fear no evil as God has my back May the good Lord protect all the Patriots fighting in this covert war against evil and keep us safe from harm washing all of us in the blood of Jesus, Amen ',positive
'Watch Dogs 2 & God of War',none
' Uncle, that\'s God of war na',none
' But that\'s God of War on the TV',none
' But that\'s \"GOD OF WAR \" na. ',none
'Nostradamus wrote: “In the city of God, there will be a great thunder. Two brothers torn apart by Chaos while the fortress endures. The great leader will succumb The third big war will begin when the big city is burning.” ',positive
' and that is the god of war badges bought!',none
' So we create the stories or we end the planet...this is a classic struggle between Christ and the prince of darkness...he needs to get off the golf course and get his war plan together...I don\'t think he is taking his war with God, Michael, and Christ serious enough...',positive
' >god of war cosplay that\'s fucking bahamut',negative
' God of war and Spider-Man are the only above average games on PlayStation. Xbox has Halo.',negative
' God of War',none
' I will give you god of war, totally forgot about that one',none
' God of War, Uncharted Last of Us etc.',none
' Spider-Man, God of War, Horizon Zero Dawn, The Last of Us, Infamous Second Son this list goes on buddy',negative
'The God Of War bless the soul of the warrior and fight alongside him with pride. °Grimnir x Apsaras Danchou° ',positive
' And she’s playing God of war',negative
' Arakan has never had a position of war division. Aside from Islam, we fight for a future that will please God.',negative
' Words fail us in expression our sadness and sympathy to the victims and their families. Yes there should be a war on Corona and all other viruses that are the cause of many illnesses around the globe. God have mercy in the victims.',negative
' MY DEAR QUEEN I AM THE EMPEROR OF BRITISH EAST INDIA COMPANY MY GRAND SIRE THE GOD OF WAR SRI KRISHNA AND MY GRAND MOTHER SATYABHAMA QUEEN OF THE WORLD\'S NOW VICTORIA AND ELIZABETH NOT MONARCH MY FAMILYS TREASURES ONE MILE SQUARE NEW YORK USA CITY OF LONDON MAHABHARAT ',positive
' Uncharted couldn\'t pay me to play that shit series god of war next well that 2018 version',negative
' God of war in the background 🤨',none
'Fear of one God is the blessing, fear of satan is the hell! Please like, retweet and comment on my timeline to be safe from curse and hell! O God, help me! O God, support my faith! ',none
'At this point, I refuse to pay more than $25-$30 for a video game unless it’s something special (e.g. God of War)',positive
'while you make your peace with god, i wage war on the rest of the world. ',positive
' Good Morning, with Sadness I say so, For it is Not so; For so many {Most} Children of GOD. This Crazy-Mixed-Up World of Confusion Oppression and War Civil Within Multiple Countries Yet with Other Countries choosing sides We ALL say NO MORE FYI: I tweeted @ AJEng link tweet',positive
' U always brag about FIFA buh u playing God of War',negative
' Islamists are duty bound to kill infidels, its their God given right to rape infidels it\'s considered war booty, which is evedence that they believe that they are at war with all non islamists, as far as they\'re concerned there will never be a cut of point untill we\'re all dead.',negative
' I just finished god of war , thinking to start playing Assassin Creed Odyssey w',positive
' ELIZABETH I AM THE EMPEROR OF BRITISH EAST INDIA COMPANY MY GRAND SIRE THE GOD OF WAR SRI KRISHNA INCORPORATED NEW WORLD ORDER BRITISH UNION JACK FLAG AND AMERICAN FLAG RAJA BHOJ TEMPLE BHOPAL INDIA THOUSAND\'S OF YEAR\'S MY FAMILY\'S TREASURES PHILIPPINES WORLD BANK IMF MAHABHARAT ',positive
' Virgin God of croquete vs Chad Croquete of War',none
' God of War.',none
' WE ARE ALL AWARE THAT THE WAR GOING ON IN THE NORTHEAST, FULANI\'S HERDSMEN AND BOKO HARAM BANDITS ARE SPECIFICALLY A RELIGIOUS WAR SPONSORED BY HIGHLY PLACED MUSLIMS IN THE NORTH TARGETING EXTERMINATION OF THE ENTIRE NORTHER CHRISTIANS,BUT GOD IS GOD HE WILL SURLY PROVE HIMSELF.',none
'Just what you wanted on a day like today - a book review of War of the God Queen by . ',positive
' god of war',none
'My forever-burning IDW1 question is wtf warforged actually means when the last hotspot ignited well before the war started and the only ones we know of are fort max (who I think word of god said is not a reformatted Pious Maximus but I always kind of wondered...) and Fulcrum',positive
' God of War is a masterpiece, Days Gone is a good game.',positive
' God of War ',none
' ELIZABETH I AM THE EMPEROR OF BRITISH EAST INDIA COMPANY MY GRAND SIRE THE GOD OF WAR VISHNU INCORPORATED BRITISH UNION JACK FLAG AND AMERICAN FLAG NOW VICTORIA AND ELIZABETH NOT BRITISH REAL MONARCH MY FAMILY\'S TREASURES ONE MILE SQUARE NEW YORK USA CITY OF LONDON THE MAHABHARAT ',none
' So that\'s me and you fun boy...I\'m the leader of God\'s army and you are the leader of Satan\'s army...just the way it worked out in the universe...I accept your declaration of war, my dark overlord...',positive
'Woa !!!! God of war',none
' Sweet! Hoping to try out god of war',none
' You tell your secret police I have all the goods on them for aiding and abetting the 9/11 terrorists...and they should just stay out of this...I didn\'t declare the war, but It\'s a war between God\'s army and Satan\'s army and their leaders...',positive
' she more radicalised than hafiz Sayeed or Sudesh Faraz Amman In my opinion ignore her or prepare for gutter slug fight. If she thinks Allah is the only god. than why, over 70\% of 1.9 billion muslims living in war torn countries, terrorism, poverty, diseases ,death etc. Relgio',negative
'god of war panders to the male fantasy of beating the fuck out of a snake lady and twisting her fucking head off ',negative
' God of war,no arguments.',none
'⠀ ⠀⠀────── ⠀⠀⠀Jimin act desperately grieving in hipocrisy as he was separated with the love of his live by any stupid rules God has made for him. Boo boo the fool, Jimin is Apollo, made for winning a war match. A smart creature made of luminous aura. ⠀',positive
'Check out my broadcast from my PlayStation 4! (God of War) live at ',none
' MR FRANCIS IAM THE EMPEROR OF BRITISH EAST INDIA COMPANY MY GRAND SIRE VISNU THE GOD OF WAR INCORPORATED BRITISH UNION JACK FLAGAND AMERICAN FLAG AND ISRAEL FLAG THOUSAND\'S OF YEAR\'S BACK I WANT TO USE MY FAMILY TREASURES ONE MILE SQUARE NEW YORK USA CITY OF LONDON THE MAHABHARAT ',negative
' God Of War 3 God Of War 2 God Of War 2018',none
' To you, Ares, My God of War Your boldness is undeniable. Never could I imagine being with someone as ruthless as you. Yet, my body aches for your every touch. I feel like when you are not around something is missing. You',negative
'The only down side of me having a switch is that I cant play DMC5 yet (3 is coming so it\'s okay kinda not a lot tho) Spiderman ps4 (F) God of war 4 but I\'m kinda considering this one as not much because the gameplay isn\'t much The story is cool but I can get the same experience+',positive
'To martyr: put one to death for adhering to some belief, especially religious; to sacrifice on account of faith or profession. The Church should acknowledge Uriah as a Martyr (2 Sam 11); foreigner killed for not breaking God\'s war laws & respect for God\'s chosen (2 Sam 11:11).',negative
' Yes agreed - how about war in e. backed by sadist 2 million people displaced, over 500,000 children suffering trauma, murders & killing of innocent civilians; western media apathy so thank God for ',positive
' God of Croquete / Croquete of War',none
'God of war mi..... sis WHAT JSKSJKS',none
